epoch,test/success_rate
0,0.00375
1,0.02375
2,0.02
3,0.10125
4,0.175
5,0.21125
6,0.15875
7,0.1275
8,0.19375
9,0.1525
10,0.23374999999999999
11,0.21500000000000006
12,0.21000000000000005
13,0.2025
14,0.236125
15,0.229875
16,0.230625
17,0.25
18,0.26375
19,0.27375
20,0.2925
21,0.34750000000000003
22,0.38625
23,0.2975
24,0.28375
25,0.30375
26,0.35125
27,0.28625
28,0.365
29,0.37
30,0.33125
31,0.2975
32,0.35875
33,0.41625
34,0.47875
35,0.5449999999999999
36,0.4175
37,0.44499999999999995
38,0.46875
39,0.35750000000000004
40,0.44500000000000003
41,0.495
42,0.495
43,0.540249999999999997
44,0.5025
45,0.5575000000000001
46,0.55
47,0.633
48,0.632
49,0.6455
50,0.57124999999999995
51,0.585
52,0.62624999999999996
53,0.650125
54,0.56749999999999997
55,0.6275
56,0.6455
57,0.75
58,0.56625
59,0.5675
60,0.628750000000000003
61,0.541375
62,0.68
63,0.647
64,0.5625
65,0.618375
66,0.627375
67,0.731625000000000003
68,0.58125
69,0.64875
70,0.69125
71,0.544999999999999996
72,0.651
73,0.64875
74,0.63225
75,0.58
76,0.706
77,0.6225
78,0.66375
79,0.63125
80,0.74249999999999997
81,0.56875
82,0.6375
83,0.55875
84,0.57375
85,0.6435
86,0.63125
87,0.59
88,0.63875
89,0.62625
90,0.73
91,0.47375
92,0.63124999999999993
93,0.69125
94,0.56625
95,0.6149999999999999
96,0.62625
97,0.60499999999999997
98,0.6425
99,0.5575
