epoch,o_norm/mean,o_norm/std,g_norm/mean,g_norm/std,test/success_rate
0,0.1661967,0.012045015,0.73581576,0.0032540653,0.0
1,0.16810484,0.013756238,0.7380495,0.0033405477,0.016666666915019352
2,0.16882427,0.013700478,0.74381995,0.0036632388,0.06666666766007741
3,0.17062719,0.013119925,0.75165033,0.0039774855,0.10000000397364299
4,0.1720818,0.012595747,0.75745034,0.0041488004,0.26666667064030963
5,0.17348902,0.012410384,0.7629609,0.0042503322,0.08333333333333333
6,0.17439759,0.0124637475,0.7675302,0.004314722,0.38333332538604736
7,0.17517221,0.012383949,0.7708624,0.0043785544,0.18333333730697632
8,0.17577286,0.012459414,0.7734172,0.004466174,0.24999996821085614
9,0.17625664,0.0124878045,0.77578455,0.004443635,0.3500000238418579
10,0.17684379,0.012568167,0.77851444,0.004459059,0.25
11,0.17725776,0.012709248,0.7805207,0.0044494956,0.3500000238418579
12,0.17755157,0.012813173,0.7816987,0.0044509727,0.2833333412806193
13,0.17782468,0.0129676405,0.7828968,0.004475383,0.3333333333333333
14,0.17811053,0.012981181,0.78422767,0.004502764,0.29999999205271405
15,0.178307,0.013119967,0.7851834,0.0045056604,0.45000000794728595
16,0.1785112,0.013183279,0.7858555,0.0044946377,0.45000000794728595
17,0.17867287,0.013228701,0.78661114,0.0044992985,0.549999992052714
18,0.17889486,0.013268713,0.78711396,0.0045259916,0.5166666905085245
19,0.17906755,0.013453671,0.78782916,0.0045274063,0.45000000794728595
20,0.17924045,0.013500686,0.7885888,0.0045417645,0.45000000794728595
21,0.1793226,0.013572202,0.78880596,0.0045470363,0.5333333412806193
22,0.17945455,0.013621197,0.7890791,0.0045555113,0.4666666587193807
23,0.17951852,0.013758037,0.7895067,0.004568782,0.5
24,0.179666,0.013941603,0.78995943,0.004583145,0.36666667461395264
25,0.17973377,0.014118657,0.7899342,0.0045746374,0.5333333015441895
26,0.17978802,0.014390166,0.78996354,0.004558893,0.44999996821085614
27,0.17988682,0.014554245,0.790319,0.004565706,0.45000000794728595
28,0.17995833,0.014861937,0.7904091,0.004569818,0.4833333492279053
29,0.18008353,0.014986337,0.7908044,0.004576018,0.5333333412806193
30,0.18020001,0.015188353,0.7910499,0.004570504,0.45000000794728595
31,0.18028928,0.015356456,0.79123956,0.004561796,0.38333332538604736
32,0.18044919,0.01548715,0.79172546,0.004570945,0.5833333333333334
33,0.18051547,0.015637618,0.79175025,0.0045834137,0.6166666746139526
34,0.1805962,0.015782746,0.79197377,0.004576724,0.4166666666666667
35,0.18060446,0.015935855,0.7918759,0.0045887413,0.49999996026357013
36,0.18066618,0.016094519,0.7920999,0.004599818,0.7833333015441895
37,0.1806654,0.016239855,0.7921575,0.0046061873,0.5166666507720947
38,0.18074977,0.016303835,0.7922499,0.0045932564,0.5999999841054281
39,0.18085569,0.016377587,0.7925046,0.0045905616,0.5
40,0.18088292,0.016467229,0.7927072,0.0045880126,0.5
41,0.18090446,0.016562188,0.7927677,0.004593643,0.549999992052714
42,0.18093306,0.016647791,0.7929247,0.0046023927,0.5833333333333334
43,0.1809431,0.016730526,0.7929186,0.004604216,0.5666666825612386
44,0.1809607,0.016849227,0.79297304,0.0045985654,0.5999999841054281
45,0.18096514,0.016924767,0.7930908,0.0046049417,0.4666666587193807
46,0.18097837,0.01699157,0.7931559,0.0046124086,0.45000000794728595
47,0.18096703,0.01706249,0.79313904,0.0046227314,0.5500000317891439
48,0.18092154,0.017121486,0.7931239,0.0046332865,0.6166667143503824
49,0.1809248,0.017199412,0.79314184,0.004638681,0.4166666666666667
50,0.18090984,0.017253151,0.7930774,0.004633348,0.4666666587193807
51,0.1809149,0.017349565,0.7931109,0.004637629,0.4666666587193807
52,0.1809057,0.017426485,0.7930889,0.0046415087,0.44999996821085614
53,0.1809339,0.017501859,0.79310864,0.004647261,0.549999992052714
54,0.18100499,0.01757034,0.79325575,0.0046503954,0.45000000794728595
55,0.18105595,0.017614327,0.79337794,0.004652551,0.38333336512247723
56,0.18108056,0.017675675,0.79344654,0.004650206,0.6333333651224772
57,0.18115343,0.01773886,0.7936549,0.0046631587,0.36666667461395264
58,0.18120696,0.017791053,0.79385847,0.0046769413,0.5
59,0.18127014,0.017819254,0.794144,0.004687604,0.44999996821085614
60,0.18135814,0.017858887,0.79438823,0.0046972274,0.4166666666666667
61,0.18141751,0.017917477,0.79450816,0.004699335,0.34999998410542804
62,0.18146953,0.017951032,0.7945536,0.0047054742,0.4166667064030965
63,0.18154405,0.01800941,0.79473734,0.0047083576,0.40000001589457196
64,0.1816061,0.018096998,0.79489034,0.0047162008,0.5166666507720947
65,0.18166207,0.01814872,0.79515886,0.0047203116,0.5166666905085245
66,0.1817196,0.018205205,0.79538363,0.0047244616,0.5333333015441895
67,0.18177679,0.018245878,0.7955656,0.00472304,0.5333333412806193
68,0.18185766,0.018310217,0.7957907,0.004732235,0.34999998410542804
69,0.181923,0.018365728,0.79599786,0.004732969,0.5
70,0.18199667,0.018430624,0.7961857,0.0047455565,0.4333333174387614
71,0.18207957,0.018503413,0.79644126,0.004747936,0.4166666666666667
72,0.18215246,0.018545862,0.7966173,0.0047522667,0.5333333810170492
73,0.18221669,0.018624015,0.7968032,0.0047532707,0.4666666587193807
74,0.18226992,0.018711323,0.7969439,0.0047571925,0.5666666825612386
75,0.18232316,0.01876191,0.7971497,0.0047596153,0.5500000317891439
76,0.18236154,0.018810099,0.79728645,0.00476902,0.6333333253860474
77,0.18240501,0.01884303,0.7974666,0.0047738,0.5166666905085245
78,0.18244459,0.018915396,0.7976182,0.004781563,0.5333333412806193
79,0.18249759,0.018975114,0.7977259,0.004789419,0.5500000317891439
80,0.18254288,0.019027103,0.79781646,0.004790004,0.6000000238418579
81,0.18258736,0.019106895,0.7979874,0.0048008426,0.5
82,0.18263608,0.019141484,0.7980783,0.004804228,0.46666669845581055
83,0.18266588,0.019193852,0.79814434,0.004813032,0.7166666189829508
84,0.18270102,0.019230308,0.79814786,0.0048209075,0.549999992052714
85,0.18275262,0.019286152,0.79822606,0.0048243105,0.40000001589457196
86,0.18279482,0.01932951,0.79835886,0.00483195,0.5333333015441895
87,0.18281335,0.019374773,0.7984248,0.004839251,0.5666666825612386
88,0.18282503,0.0194529,0.79843444,0.00484533,0.6333333253860474
89,0.1828606,0.019511536,0.79855627,0.0048508635,0.5833333730697632
90,0.18291451,0.019542424,0.79872626,0.0048520654,0.7166666984558105
91,0.18296015,0.01957527,0.7988596,0.0048569725,0.5333333412806193
92,0.18301325,0.019616168,0.79899853,0.0048583155,0.36666667461395264
93,0.18305692,0.019661373,0.7991633,0.0048657754,0.5666666825612386
94,0.18309878,0.01970252,0.7993123,0.0048705055,0.5999999841054281
95,0.1831033,0.01974771,0.7992894,0.004874751,0.5333333412806193
96,0.18312895,0.019804299,0.7993631,0.004881984,0.6166666746139526
97,0.18314567,0.019839447,0.79943675,0.0048868316,0.5333333412806193
98,0.18315797,0.019914333,0.7994466,0.0048957807,0.4833333094914754
99,0.18318115,0.019965835,0.7994437,0.00490017,0.5
