wall_time,step,Test/Success_Rate
1682308546.6832564,25000,0.0
1682308732.6850557,50000,0.0
1682308902.5423918,75000,0.0
1682309066.1021862,100000,0.0
1682309244.50716,125000,0.0
1682309407.818705,150000,0.0
1682309561.7156875,175000,0.0
1682309708.184704,200000,0.0
1682309848.9944985,225000,0.0
1682309987.5339777,250000,0.0
1682310128.8381457,275000,0.0
1682310275.824405,300000,0.0
1682310412.2871664,325000,0.0
1682310548.8165116,350000,0.0
1682310686.4249785,375000,0.0
1682310824.684175,400000,0.0
1682310961.6980858,425000,0.0
1682311104.3724842,450000,0.0
1682311247.9498594,475000,0.0
1682311391.796713,500000,0.0
1682311535.588219,525000,0.0
1682311689.7430868,550000,0.03333333333333333
1682311831.7129989,575000,0.06666666666666666
1682311971.3150725,600000,0.13333333333333334
1682312111.2498217,625000,0.16666666666666666
1682312251.6739802,650000,0.26666666666666666
1682312388.313706,675000,0.3666666666666667
1682312529.704684,700000,0.46
1682312674.7254472,725000,0.5333333333333333
1682312817.5030377,750000,0.48
1682312962.8817317,775000,0.3
1682313112.7753594,800000,0.43333333333333335
1682313260.2073035,825000,0.7
1682313401.9855516,850000,0.8
1682313541.689721,875000,0.7
1682313682.675096,900000,0.7333333333333334
1682313821.30901,925000,0.7666666666666667
1682313955.4260905,950000,0.8333333333333333
1682314093.8058057,975000,0.79
1682314234.8542252,1000000,0.89
1682314375.7148285,1025000,0.9333333333333333
1682314515.503739,1050000,0.9333333333333333
1682314666.0615647,1075000,0.9333333333333333
1682314802.6252296,1100000,0.9666666666666667
1682314937.6733108,1125000,0.9666666666666667
1682315073.375194,1150000,0.9333333333333333
1682315208.4208577,1175000,0.9333333333333333
1682315339.5989861,1200000,1.0
1682315476.6613843,1225000,1.0
1682315613.7209554,1250000,0.9666666666666667
1682315749.295567,1275000,0.9666666666666667
1682315883.6321278,1300000,0.9333333333333333
1682316019.6144342,1325000,0.9333333333333333
1682316168.6339238,1350000,1.0
1682316305.4867308,1375000,0.9333333333333333
1682316446.2295709,1400000,1.0
1682316588.3437343,1425000,0.9333333333333333
1682316730.0870852,1450000,0.9333333333333333
1682316862.0747313,1475000,0.9666666666666667
1682316995.1231394,1500000,0.9666666666666667
1682317133.3044138,1525000,1.0
1682317269.8487825,1550000,0.9666666666666667
1682317405.270327,1575000,1.0
1682317542.2582202,1600000,1.0
1682317692.30076,1625000,0.9666666666666667
1682317840.5762503,1650000,0.9666666666666667
1682317979.681838,1675000,0.9666666666666667
1682318115.42609,1700000,0.9666666666666667
1682318251.4455068,1725000,1.0
1682318380.6341784,1750000,1.0
1682318512.259753,1775000,0.9333333333333333
1682318646.668677,1800000,0.9666666666666667
1682318783.2549639,1825000,1.0
1682318918.9512882,1850000,1.0
1682319056.798985,1875000,1.0
1682319208.7609148,1900000,1.0
1682319344.0226977,1925000,0.9
1682319482.1134934,1950000,1.0
1682319618.1997054,1975000,1.0
1682319756.2719498,2000000,0.9666666666666667
1682319886.2797527,2025000,1.0
1682320019.0629928,2050000,0.9666666666666667
1682320155.093801,2075000,1.0
1682320290.4049273,2100000,0.9
1682320426.9731274,2125000,1.0
1682320564.415859,2150000,0.9
1682320713.9457808,2175000,1.0
1682320852.0530272,2200000,1.0
1682320986.6754417,2225000,0.9
1682321124.6076174,2250000,1.0
1682321263.2157629,2275000,1.0
1682321398.4104278,2300000,1.0
1682321538.4636014,2325000,0.9666666666666667
1682321676.8465216,2350000,1.0
1682321810.418749,2375000,0.9666666666666667
1682321946.1859457,2400000,1.0
1682322082.8368244,2425000,0.9666666666666667
1682322226.6126628,2450000,1.0
1682322363.313903,2475000,0.9
1682322499.529042,2500000,0.9
