wall_time,step,Test/Success_Rate
1682326023.1606677,25000,0.0
1682326299.0437667,50000,0.0
1682326538.8104758,75000,0.0
1682326864.3402746,100000,0.0
1682327129.8575723,125000,0.0
1682327437.5910213,150000,0.0
1682327726.197162,175000,0.0
1682327965.8884869,200000,0.0
1682328207.6289966,225000,0.0
1682328446.6737082,250000,0.0
1682328700.8361616,275000,0.0
1682328940.1361177,300000,0.0
1682329178.4441016,325000,0.0
1682329394.9704926,350000,0.0
1682329605.8649154,375000,0.0
1682329810.149555,400000,0.0
1682330012.2537599,425000,0.0
1682330226.8897102,450000,0.0
1682330424.2346792,475000,0.0
1682330624.8062246,500000,0.0
1682330832.0602012,525000,0.0
1682331033.343639,550000,0.0
1682331242.4307764,575000,0.0
1682331473.3150725,600000,0.0
1682331692.6178687,625000,0.0
1682331914.165099,650000,0.0
1682332086.886904,675000,0.0
1682332266.5940363,700000,0.0
1682332444.1219413,725000,0.0
1682332621.1376271,750000,0.0
1682332796.1572495,775000,0.0
1682332976.8381865,800000,0.0
1682333152.6219525,825000,0.0
1682333326.1919608,850000,0.0
1682333496.926685,875000,0.0
1682333669.8605583,900000,0.0
1682333849.849274,925000,0.0
1682334027.4367278,950000,0.0
1682334199.9707463,975000,0.0
1682334372.7541108,1000000,0.0
1682334544.8300366,1025000,0.0
1682334719.3820832,1050000,0.0
1682334893.1405663,1075000,0.0
1682335063.8492074,1100000,0.1
1682335232.9921563,1125000,0.13333333333333333
1682335403.4889152,1150000,0.16666666666666666
1682335571.9970908,1175000,0.3
1682335744.1518254,1200000,0.16666666666666666
1682335913.406556,1225000,0.26666666666666666
1682336083.112673,1250000,0.2
1682336277.3415258,1275000,0.26666666666666666
1682336463.5219612,1300000,0.3
1682336637.249783,1325000,0.3333333333333333
1682336809.0946581,1350000,0.23333333333333334
1682336986.5166476,1375000,0.5333333333333333
1682337191.5584478,1400000,0.26666666666666666
1682337383.3273184,1425000,0.5666666666666667
1682337549.29059,1450000,0.3333333333333333
1682337717.4343288,1475000,0.7
1682337885.5377,1500000,0.6333333333333333
1682338056.7035184,1525000,0.6333333333333333
1682338227.2849948,1550000,0.7
1682338398.484698,1575000,0.7666666666666667
1682338566.5372546,1600000,0.7333333333333333
1682338736.3882833,1625000,0.7
1682338904.2151036,1650000,0.9666666666666667
1682339070.7731743,1675000,0.7
1682339238.1318026,1700000,0.9333333333333333
1682339403.7916234,1725000,0.7666666666666667
1682339569.9394085,1750000,0.7666666666666667
1682339739.3108873,1775000,0.7666666666666667
1682339906.2486637,1800000,0.9666666666666667
1682340072.9065669,1825000,0.8
1682340241.0222206,1850000,0.9
1682340406.3928268,1875000,0.9666666666666667
1682340568.9970255,1900000,0.7666666666666667
1682340735.1721714,1925000,0.8333333333333334
1682340903.6919284,1950000,0.8666666666666667
1682341070.480382,1975000,0.9666666666666667
1682341237.310444,2000000,0.9333333333333333
1682341406.266323,2025000,0.8666666666666667
1682341577.517975,2050000,1.0
1682341742.8226364,2075000,0.8666666666666667
1682341906.9982405,2100000,0.9
1682342072.9267642,2125000,0.9
1682342237.9877017,2150000,0.8666666666666667
1682342406.28797,2175000,0.9333333333333333
1682342575.1923833,2200000,0.8666666666666667
1682342746.0440226,2225000,0.9
1682342911.2975175,2250000,1.0
1682343076.7336762,2275000,0.9666666666666667
1682343240.958647,2300000,0.9666666666666667
1682343406.4948199,2325000,1.0
1682343588.831278,2350000,1.0
1682343782.05495,2375000,0.9666666666666667
1682343971.3843758,2400000,1.0
1682344161.2027638,2425000,0.9333333333333333
1682344349.6617672,2450000,0.9666666666666667
1682344533.7611651,2475000,1.0
1682344720.267451,2500000,0.9666666666666667
