wall_time,step,test/success_rate
1682308215.4300127,50000,0.0
1682308591.6823065,100000,0.0
1682308975.5355792,150000,0.0
1682309310.7877452,200000,0.0
1682309627.47796,250000,0.0
1682309955.7988458,300000,0.0
1682310293.1560109,350000,0.0
1682310617.229775,400000,0.0
1682310930.0296342,450000,0.0
1682311248.6086473,500000,0.0
1682311555.1399133,550000,0.0
1682311870.5853426,600000,0.0
1682312180.420994,650000,0.0
1682312484.489016,700000,0.0
1682312803.8121142,750000,0.0
1682313125.2664676,800000,0.0
1682313445.1346934,850000,0.0
1682313760.816671,900000,0.0
1682314065.1698492,950000,0.0
1682314370.3257744,1000000,0.0
1682314689.3656101,1050000,0.0
1682314998.3352203,1100000,0.0
1682315306.8968346,1150000,0.0
1682315604.4815702,1200000,0.0
1682315905.244615,1250000,0.0
1682316227.5955377,1300000,0.0
1682316550.038268,1350000,0.0
1682316867.8671815,1400000,0.0
1682317178.9605834,1450000,0.0
1682317483.6267061,1500000,0.0
1682317812.0147684,1550000,0.0
1682318092.506744,1600000,0.0
1682318352.0685632,1650000,0.0
1682318586.4263241,1700000,0.0
1682318808.209237,1750000,0.0
1682319019.8077395,1800000,0.0
1682319253.3952541,1850000,0.0
1682319469.5201063,1900000,0.0
1682319688.3333097,1950000,0.0
1682319903.6165156,2000000,0.0
1682320133.8207886,2050000,0.0
1682320363.3946319,2100000,0.0
1682320591.2071702,2150000,0.0
1682320829.886008,2200000,0.0
1682321054.222006,2250000,0.0
1682321276.5193684,2300000,0.0
1682321497.777259,2350000,0.0
1682321716.3729694,2400000,0.0
1682321926.7445428,2450000,0.0
1682322139.6677895,2500000,0.0
1682322350.9572234,2550000,0.0
1682322556.10006,2600000,0.0
1682322751.478558,2650000,0.0
1682322951.992613,2700000,0.0
1682323148.4889328,2750000,0.0
1682323351.1513252,2800000,0.0
1682323547.6023974,2850000,0.0
1682323760.6701868,2900000,0.0
1682323949.8636098,2950000,0.0
1682324139.0588837,3000000,0.0
1682324334.176118,3050000,0.0
1682324523.2146292,3100000,0.03
1682324712.3889298,3150000,0.0
1682324898.016956,3200000,0.0
1682325098.5320938,3250000,0.0
1682325304.0457735,3300000,0.1
1682325501.7380095,3350000,0.0
1682325703.5987573,3400000,0.0
1682325923.0816097,3450000,0.1
1682326216.0739121,3500000,0.2
1682326426.2113783,3550000,0.5
1682326668.2383797,3600000,0.36666666666666664
1682326970.4613063,3650000,0.3
1682327183.7936118,3700000,0.5666666666666667
1682327466.454892,3750000,0.3333333333333333
1682327715.0144532,3800000,0.5666666666666667
1682327922.3338115,3850000,0.5
1682328147.2037272,3900000,0.6333333333333333
1682328372.097836,3950000,0.7
1682328611.1783133,4000000,0.7
1682328842.2453113,4050000,0.5666666666666667
1682329070.6533198,4100000,0.9666666666666667
1682329295.179438,4150000,0.7333333333333333
1682329507.5805671,4200000,0.7666666666666667
1682329729.1479893,4250000,0.8333333333333334
1682329945.336449,4300000,0.8666666666666667
1682330175.349926,4350000,0.9333333333333333
1682330393.733105,4400000,0.9
1682330610.7061508,4450000,0.9666666666666667
1682330828.1505108,4500000,1.0
1682331040.5698395,4550000,0.9666666666666667
1682331261.3696575,4600000,0.9666666666666667
1682331521.9955595,4650000,1.0
1682331751.4369912,4700000,0.9333333333333333
1682331974.3541253,4750000,1.0
1682332158.7987034,4800000,0.9
1682332347.4263895,4850000,0.9
1682332537.4105353,4900000,0.9333333333333333
1682332726.816194,4950000,0.9666666666666667
1682332912.8053942,5000000,1.0
