epoch,test/success_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.015
17,0.03
18,0.13
19,0.060000000000000005
20,0.125
21,0.16999999999999998
22,0.165
23,0.165
24,0.23
25,0.14
26,0.24
27,0.14500000000000002
28,0.195
29,0.25
30,0.245
31,0.28500000000000003
32,0.375
33,0.3
34,0.395
35,0.41000000000000003
36,0.42500000000000004
37,0.39
38,0.355
39,0.44999999999999996
40,0.4
41,0.27
42,0.45
43,0.53
44,0.5900000000000001
45,0.485
46,0.45999999999999996
47,0.5
48,0.47
49,0.52
50,0.585
51,0.51
52,0.575
53,0.61
54,0.5
55,0.61
56,0.5800000000000001
57,0.575
58,0.535
59,0.655
60,0.665
61,0.63
62,0.615
63,0.595
64,0.585
65,0.6699999999999999
66,0.6499999999999999
67,0.6499999999999999
68,0.71
69,0.685
70,0.645
71,0.635
72,0.75
73,0.6799999999999999
74,0.68
75,0.7150000000000001
76,0.6950000000000001
77,0.635
78,0.7150000000000001
79,0.775
80,0.815
81,0.71
82,0.7350000000000001
83,0.72
84,0.72
85,0.76
86,0.815
87,0.745
88,0.8400000000000001
89,0.765
90,0.75
91,0.77
92,0.785
93,0.8
94,0.83
95,0.745
96,0.845
97,0.8049999999999999
98,0.76
99,0.835
100,0.715
101,0.78
102,0.825
103,0.775
104,0.785
105,0.835
106,0.815
107,0.86
108,0.845
109,0.8049999999999999
110,0.815
111,0.785
112,0.835
113,0.87
114,0.795
115,0.845
116,0.84
117,0.79
118,0.81
119,0.9
