epoch,test/success_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.005
21,0.0
22,0.025
23,0.07
24,0.115
25,0.095
26,0.1
27,0.13
28,0.20500000000000002
29,0.145
30,0.185
31,0.16
32,0.23
33,0.26
34,0.195
35,0.19
36,0.195
37,0.20500000000000002
38,0.15
39,0.29000000000000004
40,0.305
41,0.32999999999999996
42,0.245
43,0.405
44,0.26
45,0.355
46,0.32999999999999996
47,0.35
48,0.44
49,0.405
50,0.395
51,0.385
52,0.435
53,0.41500000000000004
54,0.41500000000000004
55,0.37
56,0.47
57,0.44
58,0.445
59,0.465
60,0.38
61,0.42000000000000004
62,0.52
63,0.495
64,0.485
65,0.44999999999999996
66,0.59
67,0.4
68,0.475
69,0.575
70,0.53
71,0.575
72,0.52
73,0.44
74,0.5349999999999999
75,0.56
76,0.46499999999999997
77,0.605
78,0.645
79,0.535
80,0.55
81,0.59
82,0.64
83,0.62
84,0.63
85,0.63
86,0.62
87,0.56
88,0.655
89,0.655
90,0.685
91,0.63
92,0.59
93,0.6950000000000001
94,0.74
95,0.76
96,0.6499999999999999
97,0.625
98,0.65
99,0.69
100,0.735
101,0.775
102,0.77
103,0.685
104,0.74
105,0.7
106,0.72
107,0.84
108,0.7450000000000001
109,0.7849999999999999
110,0.795
111,0.8200000000000001
112,0.8
113,0.75
114,0.7949999999999999
115,0.775
116,0.75
117,0.7949999999999999
118,0.775
119,0.75
